Ticker,Name,Sector,Asset Class,As of Date,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
PBH,PREMIUM BRANDS HOLDINGS CORP,Consumer Staples,Equity,2024/8/30,"12,593,761.95",0.1,"12,593,761.95","144,011.00",87.45,Canada,Toronto Stock Exchange,CAD,1,CAD
IGM,IGM FINANCIAL INC,Financials,Equity,2024/8/30,"12,316,989.44",0.09,"12,316,989.44","310,408.00",39.68,Canada,Toronto Stock Exchange,CAD,1,CAD
BTE,BAYTEX ENERGY CORP,Energy,Equity,2024/8/30,"12,074,395.20",0.09,"12,074,395.20","2,515,499.00",4.8,Canada,Toronto Stock Exchange,CAD,1,CAD
ATH,ATHABASCA OIL CORP,Energy,Equity,2024/8/30,"11,776,879.52",0.09,"11,776,879.52","2,172,856.00",5.42,Canada,Toronto Stock Exchange,CAD,1,CAD
TA,TRANSALTA CORP,Utilities,Equity,2024/8/30,"11,635,614.98",0.09,"11,635,614.98","980,254.00",11.87,Canada,Toronto Stock Exchange,CAD,1,CAD
ATS,ATS CORP,Industrials,Equity,2024/8/30,"11,164,767.80",0.09,"11,164,767.80","308,419.00",36.2,Canada,Toronto Stock Exchange,CAD,1,CAD
BLX,BORALEX INC CLASS A,Utilities,Equity,2024/8/30,"11,102,977.55",0.09,"11,102,977.55","344,065.00",32.27,Canada,Toronto Stock Exchange,CAD,1,CAD
USD,USD CASH,Cash and/or Derivatives,Cash,2024/8/30,"11,098,483.55",0.09,"11,098,483.55","8,234,824.00",134.77,United States,,CAD,0.74,USD
NVEI,NUVEI SUBORDINATE VOTING CORP,Financials,Equity,2024/8/30,"11,034,538.58",0.09,"11,034,538.58","245,321.00",44.98,Canada,Toronto Stock Exchange,CAD,1,CAD
PEY,PEYTO EXPLORATION & DEVELOPMENT CO,Energy,Equity,2024/8/30,"10,997,814.82",0.08,"10,997,814.82","754,826.00",14.57,Canada,Toronto Stock Exchange,CAD,1,CAD
